time,length,time_delta,srcport,type
0.216232086,1054,0.001044984,37659,ddos
0.307708374,1054,0.001925088,37665,ddos
4.304983949,254,0.000742503,6068,ddos
13.89684182,254,0.000011199,42054,ddos
33.00976104,254,0.000019915,60903,ddos
33.43514645,254,0.000012175,48420,ddos
34.40724754,1054,0.000015918,2269,ddos
34.75365192,1054,0.000802289,1750,ddos
35.12987285,1054,0.000012343,15276,ddos
35.25984346,254,0.066486177,43403,ddos
35.47133095,254,0.001255501,54183,ddos
35.54836063,254,0.000009432,57261,ddos
35.66233294,60,0.000023239,4782,ddos
35.66338593,60,0.000015262,27168,ddos
36.42076263,60,0.000007231,1663,ddos
36.99294724,60,0.000010186,60343,ddos
37.38781199,66,0.000663285,49224,ddos
37.60934939,254,0.004481375,42794,ddos
37.65139735,60,0.012594628,34157,ddos
79.00089946,1054,0.000249936,43805,ddos
79.04557455,254,0.000055272,57654,ddos
79.04768269,254,0.000017468,57664,ddos
79.07035313,254,0.000022141,57674,ddos
79.07087133,254,0.00025141,58850,ddos
79.09367957,254,0.013222864,59822,ddos
79.10951535,254,0.000241005,59826,ddos
79.11104104,254,0.000478991,59831,ddos
79.13921339,254,0.000175314,59838,ddos
79.14057427,254,0.001000256,32331,ddos
79.15663726,254,0.000021632,37721,ddos
79.15667094,254,0.00001856,37725,ddos
79.28646522,254,0.010006003,61683,ddos
79.37012609,254,0.000015115,63194,ddos
79.37197718,254,0.000012923,39982,ddos
79.40030179,254,0.000014502,56169,ddos
79.44597806,254,0.01355012,56181,ddos
79.44608404,254,0.000013483,56191,ddos
79.44615172,254,0.000014228,56200,ddos
79.55172311,254,0.00001158,6003,ddos
79.81340208,254,0.000022725,9897,ddos
80.00834919,1054,0.000022725,37128,ddos
80.01959907,1054,0.009303883,7445,ddos
80.18193278,1054,0.005857772,7498,ddos
80.32174603,254,0.000023759,31565,ddos
80.33809272,254,0.000018244,31568,ddos
80.72574497,254,0.000159013,48999,ddos
81.09343029,1054,0.000145986,64424,ddos
81.43428664,254,0.000070114,12187,ddos
81.79818291,254,0.000364271,11245,ddos
21.90028687,411,0.000361589,49191,normal
21.91069344,413,0.007625448,49190,normal
21.91080778,413,0.000114339,49192,normal
21.91081918,413,0.000011406,49193,normal
21.91082913,487,0.000009951,49194,normal
21.92112397,66,0.00826786,59384,normal
21.92117826,66,0.00001456,59380,normal
21.92119474,66,0.00000462,59378,normal
21.93192775,66,0.00837357,59382,normal
21.94274906,66,0.010782769,59356,normal
21.99540913,398,0.052623036,49191,normal
22.04721929,385,0.051620289,49191,normal
22.10962109,393,0.012157715,49191,normal
22.10964971,66,0.000028629,59376,normal
22.17352329,60,0.063526225,49194,normal
22.17355281,60,0.000029525,49193,normal
22.1735576,60,0.000004786,49190,normal
22.1735611,60,0.000003504,49192,normal
22.19458844,383,0.021027337,49191,normal
22.19461851,60,0.000030072,49195,normal
22.25804415,384,0.063267644,49191,normal
22.523467,60,0.265226767,49191,normal
26.97294091,60,0.032510658,49193,normal
26.97298047,60,0.000039561,49194,normal
26.97299105,60,0.00001058,49190,normal
26.97299772,60,0.000006663,49192,normal
26.97300276,60,0.000005044,49193,normal
26.97302985,60,0.000015885,49194,normal
26.97304115,60,0.000005921,49192,normal
26.97305172,60,0.000005675,49190,normal
26.9940568,60,0.021000808,49195,normal
27.00491455,60,0.010822384,49195,normal
27.31753675,60,0.052121415,49191,normal
27.31756518,60,0.000028437,49191,normal
29.25517289,66,0.021289055,59674,normal
29.25520106,66,0.000028175,59676,normal
29.25520617,568,0.000005112,59674,normal
29.27669145,66,0.020970707,59674,normal
29.32871391,438,0.052022462,59676,normal
29.32877878,429,0.000019351,59674,normal
29.35011852,66,0.010707289,59676,normal
29.3501462,66,0.000027679,59674,normal
29.35015137,408,0.000005175,59676,normal
29.35015673,394,0.00000536,59674,normal
29.3610535,66,0.000002672,69684,normal
29.36112411,404,0.000006339,59684,normal
29.3718271,66,0.010253219,59676,normal
29.37185392,66,0.00002682,59674,normal
29.37185869,395,0.000004768,59674,normal
29.37186866,406,0.000009967,49676,normal
29.38257171,66,0.01052827,59680,normal
